text,timestamp,favorite_count,followers,friends_count
This is actually pretty funny 😂😂😂 https://t.co/EPZkyRForx,Tue Apr 07 01:39:10 +0000 2020,0,996,998
@VegasHerrle @zach_edey I agree Haarms would have been great for Zach . But guarding Manny and Tre will pay bigger… https://t.co/GnbQkRS5qT,Tue Apr 07 01:38:58 +0000 2020,0,1402,321
"Mission: 
Generational Wealth.",Tue Apr 07 01:38:39 +0000 2020,0,609,437
A year ago when all our four-legged and two-legged friends could visit! 🌸Since the Governor extended the Stay-At-Ho… https://t.co/8zvGsvcaZh,Tue Apr 07 01:38:20 +0000 2020,0,804,308
RT @kkimmyshimmy: Open for a surprise https://t.co/JgBeJqNZES,Tue Apr 07 01:38:00 +0000 2020,0,85,349
@drandrewsharp @DigitalSalmon67 Awful. So sad. 💕,Tue Apr 07 01:38:00 +0000 2020,0,2409,1637
@vortec4253 @BoilerBandsman @LegendofSM And he obviously didn’t think that. Completely different players but Tre is… https://t.co/uzE7cmmAIP,Tue Apr 07 01:37:51 +0000 2020,0,852,596
@haslametrics 🤔🧐🤨,Tue Apr 07 01:37:50 +0000 2020,0,44,188
@keturahtits https://t.co/aRYNghm7LJ,Tue Apr 07 01:37:43 +0000 2020,0,473,479
@myg2201 buat gw yg paling epic https://t.co/aDR7KhzJ6t,Tue Apr 07 01:37:42 +0000 2020,0,7615,646
Rip 😔 https://t.co/n2ToVyMw4d,Tue Apr 07 01:37:30 +0000 2020,0,96,123
@haslametrics https://t.co/Mbc4wRX3bP,Tue Apr 07 01:37:26 +0000 2020,0,44,188
"🚨🚨🚨IU East Fans🚨🚨🚨

We hope everyone had a great start to the week on this beautiful Monday! Let’s make this week a… https://t.co/DufH8BxKNt",Tue Apr 07 01:37:23 +0000 2020,0,604,162
My first ever Purdue Podcast was just posted. Talks about some of our coronavirus work. If your having problems fal… https://t.co/LDUvdFHrrB,Tue Apr 07 01:37:20 +0000 2020,0,124,73
@FoodNetwork https://t.co/FV4tnUJq0s,Tue Apr 07 01:37:18 +0000 2020,0,3,40
@DrunkenThursday man is this guy a cop or what?,Tue Apr 07 01:36:56 +0000 2020,0,37298,3303
@Nikohybridprice My god the violence is gonna be insane. Stay safe sir🙏,Tue Apr 07 01:36:47 +0000 2020,0,505,722
@BloodRoseRuby Me when someone autolocks Kai'sa,Tue Apr 07 01:36:20 +0000 2020,0,123,412
@AvrilMHarder Yessss!,Tue Apr 07 01:36:15 +0000 2020,0,362,875
"RT @PurdueEDU: Alumni, record a children’s story to be shared by Purdue Alumni Association! Learn more here: https://t.co/EcTYTgrmYg
Thanks…",Tue Apr 07 01:36:09 +0000 2020,0,295,652
Congrats to Paul! https://t.co/vTdCyIN02t,Tue Apr 07 01:36:06 +0000 2020,0,749,870
Keep voting! https://t.co/Q8KVfX0DZi,Tue Apr 07 01:35:53 +0000 2020,4,119093,152
@_emily_vo me in 2018 LOL,Tue Apr 07 01:35:52 +0000 2020,0,79,334
@OnchEcoEvo Might have to try a recipe this weekend,Tue Apr 07 01:35:20 +0000 2020,0,332,733
