screen_name,id,protected,followers,follow_count
Communalytic,1144776240701874178,False,236,242
Work_Lina,1232369517378056193,True,60,588
SandraCmgo,308171723,False,221,1297
abirsaha_,1045194274864877568,False,177,237
Helena_K1,1371613337293840387,False,15,271
CallieKalny,291835368,False,552,375
_mohsen_m,1260526934678740993,False,1748,692
JohnyVegasLaw,1448298926549782538,False,4,39
PrinceAduGyamf6,890840216,False,459,978
takeoutphoto,1350382315,False,2516,1903
ElaTheGrad,146938117,False,352,1108
vermouthkuo,3012116678,False,481,2278
isabellagbrown,1144697128117129216,False,121,331
UNLCommDept,348235125,False,691,2231
ZeningDuan_Ze,820469796533743616,False,105,213
oeasy102,1439365734111617029,False,2,194
Ruth66011432,1387043865710919688,False,289,4411
hyejin_youn,3216966611,False,1111,368
mansour_ameera,1410895804852850692,False,29,237
ettaboyle,470706105,False,1787,1368
DavidnLang,902634516224720896,False,806,2730
zbensonzhou,1380733836905086976,False,176,301
AmbedkarCaravan,80876565,False,82348,2398
HonglinB,1240776894288728069,False,124,421
BrianePVSamson,45545645,False,1143,3239
annjoann_jo,350552042,False,1107,4112
AryaArshia,839139788846411777,False,1042,5001
YulinYuResearch,1228794039815876608,False,334,482
sabeti_sepehr,1111785468503486464,False,306,995
SteelCityKid87,582236408,True,116,922
divyasiddarth,4917369992,False,1258,760
shagunjhaver,101576455,False,688,561
Rachel_chloe_1,1318871487609262083,False,189,2200
audelau,2421031339,False,1664,3792
RummanShikder1,1350078697521504256,False,107,705
Testingapi9,960966061414928385,False,11,377
mercedes_rss,1423739435045179392,False,14,55
ctokelly,6273062,False,1758,1335
dianeljacks,1367636269111668737,False,22,115
Peter_G_Royal,3399021279,False,129,1606
arvidmartin,2417892751,False,759,3404
OnkarSadekar,880712022547103744,False,118,453
Subhasree249,1035037308792262658,False,107,365
joely_wu,733525232489619459,False,25,240
profbohns,322921302,False,8602,5162
nic_tilly,760716437375909888,False,198,475
UTWthePodcast,1333610678519676930,False,179,318
pmannino5,1089355008854904833,False,8,1686
saiphcita,16507835,False,9609,7063
SrishtiPatil15,1268204658033557506,False,87,486
nishalsach,1120784989509971970,False,211,1442
